"(Intercept)","X1","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X2","X20","X3","X4","X5","X6","X7","X8","X9","sim","n"
6.8508380169587e-37,2.94552935957e-35,6.81676978110373e-37,8.61847712957845e-37,8.74233037670896e-37,6.44315009184487e-37,1.30488438576631e-36,6.49670254948751e-37,6.45922692023737e-37,6.08035095026132e-37,1.9015252504777e-36,7.67698088792345e-37,1.5165576499855e-31,7.42875242850078e-37,3.06024199929032e-28,3.76749617353589e-19,2.88992881488627,0.000361241620270442,629.979224346881,1.35176497889105e-36,6.08959864579272e-37,31,750
7.08519035285518e-38,8.6152857657777e-38,3.00609731737249e-38,2.50057257775025e-38,4.31072129962264e-38,2.59468684286806e-38,2.66443040994061e-38,6.88589843348372e-38,3.53054641755655e-38,2.52140126636143e-38,5.69077111976496e-38,4.3245839492755e-38,1.52950371566724e-33,4.72084295043055e-37,2.94296858003062e-32,1.62429503666203e-18,0.048488130379922,55157681.9947275,252137377190054,2.6307859340296e-38,5.45060950735693e-38,32,750
5.44944464427125e-36,1.36711258792286e-35,3.74315553531757e-36,2.05974980812508e-36,1.25572094188708e-36,1.43751970411791e-36,1.24714268789321e-36,1.62764469916467e-36,4.00932420505706e-36,3.62340551724728e-36,1.29384526781543e-36,1.33871453592912e-36,2.45677966544618e-34,1.00285650606535e-35,4.77374995781016e-28,1.25265564911749e-13,0.0130363419796699,20120664.5311931,6400196954810058752,2.38495589993739e-36,1.29872178737825e-36,33,750
9.60842047312306e-39,1.06634870561412e-37,1.00262930024022e-38,1.08814923868526e-38,2.17054172691662e-38,1.13112929272888e-38,1.21225351287593e-38,9.73152500541622e-39,9.65158634108714e-39,1.29881366492674e-38,1.97322200827452e-37,1.5476316332295e-38,2.00991967326978e-33,9.97051844372253e-39,8.18390589235576e-30,3.97886136262972e-20,1.29842766970692e-05,3.5384446999218,9.39647165373705e+21,9.61236389717435e-39,3.02849438710679e-38,34,750
3.64564176181867e-41,3.42066231353031e-37,3.53932211295305e-41,4.66486636576693e-41,3.49007933897695e-41,3.53849600067261e-41,3.41480409817772e-41,3.58458312012151e-41,4.6891600832444e-41,3.52468338063003e-41,3.50050348329969e-41,3.42572579755404e-41,1.31438997229781e-37,1.49632352555234e-40,1.96179862664306e-32,2.97677684318177e-07,1.81648950597179e-15,1.01647153915562e-07,12471114979032790,3.66109266196579e-41,3.71545756508484e-41,35,750
2.20655577228378e-39,7.94135600528041e-38,1.27379941579951e-39,1.13631095570399e-39,4.29097861305803e-39,1.80094267495361e-39,1.1177757156137e-39,1.37272042575191e-39,2.28051697998405e-39,1.12470748071343e-39,2.66477915636871e-39,1.17095964400612e-39,6.9558185697448e-33,1.12666505439462e-39,6.96513254393893e-37,3.10322561000164e-20,1.79315843281383e-11,7.84453715309734e-05,1.04600667647966,1.11179190096399e-39,1.15112949284229e-39,36,750
4.41171175918112e-40,6.06375303439037e-39,3.89379458450247e-40,2.9536339049943e-40,3.67126900343827e-40,7.56497418654826e-40,2.97700999305696e-40,3.64703019628745e-40,3.13756834997731e-40,5.49985300146398e-39,2.9538391398332e-40,2.95775430360528e-40,6.26641912399951e-35,3.16716342811596e-40,5.66715218838888e-35,5.58943100892261e-17,4.43300273939316e-12,0.00331246320089547,3.18436648255535e+25,7.98885957135177e-40,3.64442345870008e-40,37,750
4.3289364328023e-39,6.22031238945591e-37,4.83305040155657e-39,4.22432282099689e-39,3.48387859966596e-39,3.05392389084827e-39,3.00079136649746e-39,4.99656844609749e-39,4.37728412858007e-39,5.33072187974743e-39,3.38695639959458e-39,3.20806788576287e-39,8.02037367616327e-34,3.58354976616395e-39,1.21375856546354e-34,9.24844043742349e-13,8.92196780275388e-13,4.18014724232843,138523144143441,4.08327580169524e-39,1.84502059459223e-38,38,750
1.60029743672527e-34,9.85634174674909e-33,4.20003514570795e-34,1.66094111878941e-34,1.34348277171519e-33,2.85090263065516e-34,3.74877888088428e-34,3.3993926651001e-34,3.51852342615831e-34,1.41400880149451e-34,2.00200048462997e-34,1.51907059839306e-34,2.59655331079189e-29,2.05450109476427e-34,1.07458778678036e-22,1.92138577869896e-20,0.000149728412957237,252.018942334288,599718757809520000,4.23110517591321e-34,8.36169106225653e-33,39,750
7.7572080493956e-40,3.98921403795043e-38,3.18728206976447e-40,7.96901516419135e-40,3.10824988909129e-40,2.93552056884499e-40,2.93124151796236e-40,3.25583582815107e-40,5.37720804197894e-40,2.92955130033066e-40,3.15568676247143e-40,7.0891629112467e-40,1.12836899839708e-35,3.29891823488547e-40,7.89021730508107e-32,2.36049064511557e-09,6.91295077767368e-15,5805.67414894942,2604412194084480,2.96675005816504e-40,5.29421798434774e-40,40,750
7.0428108472454e-39,8.88774478396367e-38,7.92583903883424e-39,7.04037910176617e-39,2.87824138891934e-38,7.46877181246938e-39,8.64266892209047e-39,1.67654228895345e-38,7.65710148640323e-39,7.71259645181111e-39,5.71037410427202e-38,6.90684710655279e-39,1.34146068845293e-34,7.00693018999339e-39,9.36912875195005e-27,3.10584932193298e-22,0.000193356066427332,177787.374360475,415907066795064448,1.30647437137678e-38,7.21624266313978e-39,41,750
1.48611665964293e-37,5.09181111682121e-36,1.37631066293559e-38,1.90642882515816e-38,1.55628603775092e-38,1.59990689854953e-38,1.38317983682014e-38,1.42468144747537e-36,2.41846495760147e-38,2.17862060065963e-38,1.32011976014979e-38,1.33407240620627e-38,4.92589574480874e-36,1.40206355752051e-38,3.70812997959287e-26,1.06052250700133e-14,0.00382163884355706,5527162586.44085,1.81300029250723e+27,2.1619955514973e-38,2.63004782792724e-38,42,750
3.77753859754733e-39,1.05970406163951e-36,1.80840588558448e-39,1.82394352481741e-39,2.49914611012206e-39,4.14713513089002e-39,1.57598768555203e-39,2.46084419284698e-39,1.63625592301942e-39,1.9156413724259e-39,1.84116081824928e-39,1.57909464421009e-39,6.5983498632229e-34,3.04548772346464e-39,7.12771276299912e-33,5.3850395027433e-20,128.704865002021,94.3732169373497,20297183357155.3,2.87513510126984e-39,3.52732343132789e-39,43,750
3.14975169486783e-38,3.04795156800709e-38,4.3139238052082e-38,2.92554619968401e-38,2.71813404497923e-38,2.81824874035998e-38,5.22353984535997e-37,3.01986526583784e-38,2.98810789678896e-38,2.71507250918377e-38,5.88113376803738e-38,1.67410607614641e-37,8.07306995035173e-35,4.70244328968e-38,2.09786890662882e-33,4.67071732616118e-23,2.03933573647319e-05,217.018392052746,1787228876326167040,3.99053661974219e-38,3.6435994580415e-38,44,750
6.73753129861795e-37,1.04556452514031e-34,3.04445242677802e-37,3.38264201903298e-37,5.78094634311884e-37,5.24793506822736e-37,5.02737156253693e-37,3.08279720850935e-37,2.9249407300415e-37,1.01569738717435e-36,1.61234544024367e-36,3.17060487767606e-37,1.03044858063252e-31,5.65599430072064e-37,4.33699737770792e-29,1.06080146055459e-22,0.0012042296794904,9715902.3993557,3.02720956744145e+20,3.3447085704877e-37,3.47989966884376e-37,45,750
1.11555401371896e-36,1.02780699914258e-36,6.59717334273741e-37,3.15556290955439e-37,4.26019739900069e-37,3.96300688920235e-37,4.00076190518547e-37,4.01711375182778e-37,5.6051392317587e-37,3.21300714513524e-37,5.10705589103103e-37,3.61910955101492e-37,8.33979899356464e-35,2.11193184802135e-36,4.18654114132726e-32,5.1332889662748e-23,4115.8388049248,0.146425245921398,4.53356316200634e+24,3.33191211648502e-37,5.15475417254383e-37,46,750
