"A","B","C","D","E","F","G","H","I","J","sim","n","type"
0.489669161683308,0.493646743965612,0.39220859746933,0.302475380847191,0.126811179812417,0.0624709433269795,0.0497009072218838,0.00120153997746049,6.69514440435832e-09,2.56458510880963e-13,50.5,500,"pvalues"
0.517127190542632,0.406796111331626,0.311848454683762,0.197601136481433,0.114536051094639,0.0618368576217033,0.0142203923666616,1.63012963197461e-05,2.11271319261794e-12,9.14811383579454e-18,50.5,750,"pvalues"
0.451924889135331,0.41700719403089,0.302766285936459,0.12257964889338,0.0434651334703527,0.0166441609869801,0.00418156960825784,2.14742583179777e-07,2.38756668417625e-18,1.65963393844754e-27,50.5,1000,"pvalues"
0.504408408762171,0.379378344740559,0.202345090750791,0.0796206765739484,0.0125502648143426,0.00131663099470427,0.000331155499199535,9.05352034363931e-08,9.6363981840179e-22,4.46826220251726e-46,50.5,1500,"pvalues"
0.525328001815904,0.390692320051444,0.166504778722639,0.0371402565667293,0.00283263825891575,0.000913480614875727,7.30360199495008e-05,1.69142588529307e-14,8.31369378270392e-31,1.63596921149697e-58,50.5,2000,"pvalues"
0.45558177128857,0.341569090755536,0.125178860660494,0.0198141370889734,0.00290223495824877,3.95514551454231e-05,3.45512876256291e-07,2.41864772268794e-19,3.7181794246778e-43,4.3356193847971e-74,50.5,2500,"pvalues"
0.488983609234896,0.267103468577656,0.0340209753579454,0.001643535287576,2.87768640180843e-06,6.96135020667148e-09,1.4701259985853e-14,5.96950516322995e-36,1.93076936449162e-79,6.61580441214009e-157,50.5,5000,"pvalues"
0.497685982075728,0.112230752968,0.00279392149910826,1.69391670866084e-06,3.73959372996713e-11,4.28286157728382e-17,7.07805687872433e-27,7.57813651571164e-77,2.39402144593191e-181,0,50.5,10000,"pvalues"
-0.114146058149436,-0.176639196111863,-0.135235931812629,0.0300734235257667,-0.0513950186662844,0.0770533923038692,0.168077530220794,1.10142346696111,3.14873244027705,5.69950309111945,50.5,100,"calib1"
-0.27034284928847,-0.248240360396636,-0.0991753637434738,-0.0156740068808492,0.476481099703791,0.673375778923578,1.12053270588375,3.49124182514128,9.14097650376617,17.2752423111271,50.5,250,"calib1"
-0.290584890618117,-0.309709823791433,-0.0845075738282266,0.196396340805181,1.24976869584703,1.69008657051084,2.47389147430093,8.35173481302578,20.9413113424899,35.6457933414144,50.5,500,"calib1"
-0.310082101651786,-0.0816103577183792,0.14434291961068,0.784872542950697,1.28157502408937,2.31475695029123,4.31439421526597,12.6441485383107,31.233774024191,55.8218445782898,50.5,750,"calib1"
-0.186813389761417,-0.130613643456259,0.425773600114912,1.05316008080178,2.51669412249302,3.59438092643803,5.34795462492918,18.59865253925,43.8811494399245,74.3423616342481,50.5,1000,"calib1"
-0.316653253890421,-0.0356200378023099,0.571275137260203,1.70640814702446,3.41676612691276,6.09287130380216,9.48910409034466,29.0354371666762,65.6460604421251,116.895340191156,50.5,1500,"calib1"
-0.35069316945597,-0.0693101561174904,1.14455378874516,2.42247740404949,5.11112108697743,8.55943706925911,13.1452796747419,40.3825216280345,90.4448264853704,157.680762241646,50.5,2000,"calib1"
-0.268234297470419,0.109911687726068,1.18644617716851,3.38934945793873,6.14428883950838,10.1307212576414,17.1703846198714,50.2718925344173,116.206732611153,201.573361046389,50.5,2500,"calib1"
-0.268741085332077,0.257141797813247,2.98461139245051,7.51564436046583,15.0181659262052,24.7634131846158,35.3721513273576,104.427207534919,233.111460116685,405.103694430843,50.5,5000,"calib1"
-0.328418185562627,1.3412395901934,6.46259441952535,16.689614252146,31.7692972456774,53.6880475453047,73.736107919367,211.596419049668,474.100420982277,NA,50.5,10000,"calib1"
-0.119815080799212,-0.290392922923811,-0.126571372110533,-0.0159525379604906,-0.0112335142907699,0.0342607315492879,0.156615971941446,0.526549220467763,0.623821620704212,0.689901706716972,50.5,100,"calib2"
-0.322660938332057,-0.299968452993268,-0.0176802233337519,0.0915034720239649,0.232678028864081,0.285812350862729,0.430752642245754,0.682521525324506,0.69212799662701,0.693146649062711,50.5,250,"calib2"
-0.25474405499461,-0.238525369166249,-0.0756917041685781,0.181307065417215,0.473752754663128,0.6192123883051,0.626632948258102,0.691915761217738,0.6931471738648,0.693147180559689,50.5,500,"calib2"
-0.37000084015015,-0.128218216585745,0.107002308352072,0.354473465153892,0.532045505283769,0.592480441082551,0.674253323898357,0.69313087790414,0.693147180557833,0.693147180559945,50.5,750,"calib2"
-0.11446681258955,-0.100405261227432,0.0515282155162913,0.533308627984124,0.639027964229784,0.672626735960508,0.688817369109743,0.693146965815752,0.693147180559945,0.693147180559945,50.5,1000,"calib2"
-0.257388960167193,0.00133041880966692,0.37011986600553,0.585114684082567,0.680199200489409,0.69182230779008,0.692814067792181,0.693147090024332,0.693147180559945,0.693147180559945,50.5,1500,"calib2"
-0.297556468376698,-0.00409173828867384,0.4027240631117,0.652721214701247,0.69026527421743,0.692221454650418,0.693074016873963,0.693147180559928,0.693147180559945,0.693147180559945,50.5,2000,"calib2"
-0.182976101900651,0.0421608618164371,0.516448079752948,0.670796615348624,0.690144631237428,0.693107618079634,0.693146835045368,0.693147180559945,0.693147180559945,0.693147180559945,50.5,2500,"calib2"
-0.261173385471463,0.216409726336195,0.653123841741707,0.691473025006461,0.69314430271237,0.693147173598594,0.693147180559931,0.693147180559945,0.693147180559945,0.693147180559945,50.5,5000,"calib2"
