"(Intercept)","`1`","`10`","`11`","`12`","`13`","`14`","`15`","`16`","`17`","`18`","`19`","`2`","`20`","`3`","`4`","`5`","`6`","`7`","`8`","`9`","sim","n"
1.60935149971523e-117,1.99524441823332e-52,2.55508857879177e-117,2.52314216947211e-117,2.59380985611964e-117,2.81571128266666e-117,2.72108036939609e-117,3.12036357605033e-117,1.63011296038514e-117,1.88383373805035e-117,1.58523989974549e-117,2.062613509903e-117,1.40508288773521e-13,2.46249900621835e-117,1.66067513576544e+100,Inf,Inf,Inf,Inf,7.50182246636751e-117,1.21505180756719e-116,45,1200
2.38645098998651e-112,3.40030465706918e-60,1.17408146930937e-112,1.25916900801057e-112,9.87926902291402e-113,1.04381063273886e-112,9.88517702311471e-113,1.15700147299032e-112,1.61252252260568e-112,1.89797667960047e-112,1.02834197790011e-112,1.41391848228096e-112,1.04308014838063e-21,1.02003484612352e-112,1.6016881162186e+73,Inf,Inf,Inf,Inf,1.23001104774212e-112,1.15258798523721e-112,46,1200
5.60474647721126e-117,5.32819541546604e-48,5.63558808960653e-117,5.55568888608384e-117,7.01833367255558e-117,8.10402805105418e-117,2.67600985116441e-116,5.87301023004359e-117,5.62251451858731e-117,5.57187251566005e-117,8.53922509682461e-117,8.5246718986343e-117,1.53498037474217e-09,5.93934478295039e-117,8.40478316654001e+96,Inf,Inf,Inf,Inf,5.85583755627551e-117,5.78727008329627e-117,47,1200
6.72764186460561e-115,1.5331780900117e-63,4.68188189378265e-115,5.11368777946058e-115,1.23401915358453e-114,6.14630737597325e-115,1.83710342430291e-114,6.92392580253589e-115,4.95433571229939e-115,6.45099994364702e-115,4.65716616530317e-115,4.73085843694592e-115,1.28697454752518e-13,2.59840884059329e-114,5.40570505541733e+71,Inf,Inf,Inf,Inf,9.36676803777575e-115,4.65114848961562e-115,48,1200
3.93769773006221e-115,4.3906056307926e-51,5.69309576115365e-115,7.73251522839616e-115,3.62044522733026e-115,3.70195128533867e-115,4.06791420021627e-115,7.97186747860191e-115,3.81515536694105e-115,3.31154940605075e-114,4.2067944427666e-115,5.6120494438591e-115,6.13967719808659e-18,3.87182231529413e-115,2.49160362571407e+93,Inf,Inf,Inf,Inf,4.97843614369178e-115,2.93325347794254e-114,49,1200
1.3664888183074e-114,2.10779478507939e-51,9.78604220809339e-115,4.21530668464606e-114,1.16295793541515e-114,3.37812110156987e-114,4.04245755559068e-114,1.02605600627686e-114,9.80601815047004e-115,1.17520283278577e-114,1.35945334294935e-114,1.21402254173141e-114,1.03819285341997e-24,1.20083276096799e-114,5.35923468112868e+85,Inf,Inf,Inf,Inf,1.26942697296918e-114,1.07686634751325e-114,50,1200
3.12352184275195e-109,2.57794024851973e-56,3.47555732643893e-109,2.61190858983778e-109,1.05329480872124e-108,2.50476173133104e-109,2.81475411491028e-109,6.20685964530292e-109,2.51281784626453e-109,2.98668327878169e-109,2.67875427156744e-109,2.62480410601142e-109,1.49188437460054e-17,6.84369261547094e-109,1.61528412381641e+63,1.27656631657079e+298,Inf,Inf,Inf,9.10502492013876e-109,2.53594491460422e-109,51,1200
3.36432375471722e-110,6.32645547288262e-51,8.2588412740447e-110,1.9920704404523e-108,2.85598229042475e-108,3.30273789677682e-110,3.38363960685715e-110,3.06904124232978e-110,4.60548833248102e-110,6.21422156963875e-110,6.66080916332354e-110,4.91807912043233e-110,4.9721588278372e-22,3.07417826570494e-110,2.8569866211219e+70,7.07869643366982e+306,Inf,Inf,Inf,4.6401154972135e-110,3.96445456415461e-110,52,1200
1.05789628565573e-116,2.39905229521222e-46,9.97308871570088e-117,1.04440384985056e-116,1.01314501402201e-116,9.78957350802281e-117,2.80653983078166e-116,1.30834249251106e-116,1.09241289290219e-116,1.28451124696384e-116,1.06215009066547e-116,1.33057227208516e-116,2.07586675076942e-13,1.09954337858985e-116,7.43720310228511e+77,Inf,Inf,Inf,Inf,1.65623228476725e-116,1.25877006142574e-116,53,1200
1.55062938041451e-114,9.69789412280009e-69,2.00817110107054e-114,1.7021011802102e-114,3.07349378798102e-114,2.05074015390021e-114,1.68692856768563e-114,1.5662813871798e-114,1.63310039623425e-114,3.36933213274425e-114,1.55708738378015e-114,3.23965215519101e-114,4.96059833524712e-20,5.3187269319204e-114,3.4739915313239e+74,Inf,Inf,Inf,Inf,1.66436877684057e-114,1.57505365980183e-114,54,1200
1.08498024424172e-112,2.00868716654982e-56,1.02809598511431e-112,1.3107288849024e-112,9.01789543224434e-113,1.57750525448463e-112,4.90544554649445e-112,1.95503424201849e-112,8.31612654495454e-113,1.10123980042461e-112,8.84132413598848e-113,8.53029954231193e-113,7.74999515787446e-15,9.26301656245232e-113,3.73436125069745e+91,4.39515778224315e+287,Inf,Inf,Inf,9.53643086709135e-113,8.57295706773939e-113,55,1200
1.19243791838285e-111,1.32208581188401e-48,1.20394940659725e-111,1.29110634765442e-111,1.11699349921915e-111,1.4357412207292e-111,3.57842301552638e-111,1.25891696973138e-111,1.59487607240031e-111,1.15449405466283e-111,1.42918820001438e-111,2.88580475569957e-111,1.17534185166019e-19,1.48549193815219e-111,1.07755642773176e+70,Inf,Inf,Inf,Inf,7.59718279429842e-110,1.5531670703307e-111,56,1200
2.65255984607773e-116,2.40040561272223e-57,1.86535454570897e-116,3.99597447232243e-116,2.92384205569291e-116,1.03229745862792e-115,2.00257406555225e-116,2.38919705559655e-116,4.40409388637662e-116,3.3591551357005e-116,1.97266102073758e-116,2.33083040807808e-116,1.10983381435426e-19,1.9745592634431e-116,2.15857054252263e+84,Inf,Inf,Inf,Inf,1.87201469677628e-116,4.13890422326101e-116,57,1200
9.26765347066993e-113,6.7902746146141e-52,1.86327680992327e-112,2.42892265258653e-112,2.13368862171143e-112,1.33572119834455e-112,1.12799064448637e-112,9.42675438740379e-113,1.25258078688092e-112,3.37267502108463e-112,1.30468079804161e-112,1.01086346976772e-112,7.9740211958633e-18,1.19877162982089e-112,1.71636088840019e+69,Inf,Inf,Inf,Inf,1.01420517652162e-112,9.62145700175138e-113,58,1200
4.00045320659061e-115,2.41801736809577e-60,6.69099320948093e-115,4.40645324889291e-115,6.34467897650031e-115,1.82627855739464e-114,4.36148987282231e-115,3.96614992356358e-115,4.04731422099604e-115,4.02367327270955e-115,4.51740460962792e-115,6.91263665911676e-115,1.43797022274168e-20,4.19914746041424e-115,2.778975282323e+73,Inf,Inf,Inf,Inf,6.46002936909719e-115,7.3589145580273e-115,59,1200
2.60413480165867e-110,8.08619219990421e-57,3.61207337165649e-110,2.21854705858542e-110,9.15726170248466e-110,2.60562382504086e-110,2.20635678532069e-110,4.01343199245542e-109,3.45944977458412e-110,2.20385012124551e-110,2.57032764553523e-110,2.27533985331126e-110,4.25390432360817e-08,2.20420725189621e-110,9.37420345578576e+62,Inf,Inf,Inf,Inf,4.29509144506064e-110,1.30649887701348e-109,60,1200
2.64087079700452e-113,5.64912262630719e-57,3.18550124209099e-113,4.65712110737592e-113,2.59952582019918e-113,1.17482720919404e-112,2.51877885153197e-113,4.18542095035963e-113,2.49730829766759e-113,3.86859416704509e-113,5.68195892991708e-113,2.5229082173808e-113,0.103353820284777,2.84816911297348e-113,4.72908592472813e+68,1.7127170984488e+303,Inf,Inf,Inf,3.74645615193679e-113,7.49570931189412e-113,61,1200
3.03708246578371e-109,1.19499136844011e-59,2.44365393696116e-109,2.67087175480165e-109,2.79831022324048e-109,2.46372763996179e-109,4.63347188474155e-109,8.41328094100755e-109,2.5037317118406e-109,2.47978988885775e-109,3.63549102328559e-109,2.42409391390492e-109,1.85183405650475e-31,2.58363814115608e-109,7.94572387380428e+62,3.38497439531768e+297,Inf,Inf,Inf,4.3999413832364e-109,3.01151138954182e-109,62,1200
2.25745937169403e-110,9.90687029431626e-45,3.04648479278729e-110,1.97209360600363e-110,2.21045018668039e-110,2.72474887457025e-110,1.15572924685357e-109,5.4282225832051e-110,4.29381120987672e-110,2.26829123955558e-110,2.89743839000935e-110,3.11841343647397e-110,5.20386337764123e-16,2.51536129662976e-110,2.51742318890054e+62,1.86864339061863e+304,Inf,Inf,Inf,3.74590527130679e-110,8.52832873859979e-110,63,1200
