"(Intercept)","X1","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X2","X20","X3","X4","X5","X6","X7","X8","X9","sim","n"
7.81594296946551e-56,9.49911698512394e-45,9.02749441829693e-56,6.40401282170338e-56,8.047710536711e-56,6.52075577123771e-56,6.67247461187466e-56,7.10358005396402e-56,6.76266112319637e-56,8.38482284526998e-56,6.97878145301295e-56,2.01548047383671e-55,1.43215703544931e-35,8.14796657231775e-56,3.4572919817385e-28,14.4901594533195,4.12416019464322e+33,1.15219610979711e+41,2.12502017376699e+62,7.08649908067106e-56,6.40323776155541e-56,25,300
4.95102597515324e-52,1.35964753383824e-44,2.29855927942451e-52,2.34200338964515e-52,3.76494471180481e-52,2.27693453226206e-52,3.19554309820331e-52,3.4863883001624e-52,2.18237425299054e-52,2.19309884907734e-52,2.45945680271317e-52,7.61805673206786e-52,1.07374596149508e-37,7.74610502966319e-52,8.95024763810204e-30,56809193356.457,1.91808628875864e+27,2.56600133666614e+41,1.24350431776732e+62,3.30484522379668e-52,1.25912606968515e-51,26,300
1.5197557529912e-54,5.02420510637873e-48,1.74125597152258e-54,1.82488117321682e-54,2.69035786567659e-54,1.26440733133421e-54,1.4200298343596e-54,1.33209284913681e-54,1.27198214920106e-54,1.27418344261942e-54,1.26889279308763e-54,1.3578733030694e-54,6.68634543974737e-38,3.13517726248997e-54,6.60980483424688e-34,139999.677355568,3.19104739586354e+29,1.24199819351168e+36,5.21425344037926e+54,1.81437450198061e-54,1.31272675972637e-54,27,300
6.58857938944122e-55,5.22781172428551e-44,6.08413851221255e-55,6.19806617838865e-55,6.49260228862031e-55,6.0794585883986e-55,6.89688531385454e-55,6.40052187183508e-55,7.62991884084245e-54,6.3087546956675e-55,6.23446873727366e-55,2.04937469607216e-54,1.17360756460802e-33,6.2485067949637e-55,6.18236749134113e-24,64039373.7943122,2.0377888527335e+25,7.7498529401085e+40,9.10424889505785e+61,7.49769376261397e-55,7.91625823886373e-55,28,300
3.18833455896755e-52,1.14113848618823e-42,3.21180133210914e-52,3.99891103105345e-52,1.590750423215e-51,3.87548075675977e-52,2.50177749258419e-51,4.0977625547685e-51,3.55931962262235e-52,5.06438512012346e-52,3.20755033672388e-52,7.00958463730621e-52,7.88221229339216e-33,3.53913847668951e-52,1.4307777553641e-23,162.995275574783,4.70683422029415e+27,1.68306263406496e+39,1.30268329472677e+63,7.80618489075733e-52,5.30061511356292e-52,29,300
6.8204192757835e-54,5.39470781177304e-52,3.71033696558646e-55,4.22554239995066e-55,3.7077591706738e-55,5.00814310334653e-55,3.88221378554006e-55,7.30359988545743e-55,3.74642014152078e-55,1.28742593329714e-54,1.18091250015128e-54,4.51081709900442e-55,2.13945789101683e-39,7.43480988654642e-55,2.06939187190456e-29,3.71434844117086e+23,5.27699759245446e+25,4.88232890366713e+44,1.2435303443336e+65,4.11293311264892e-55,4.05019167124782e-55,30,300
3.72069289650672e-53,3.97672157280224e-41,2.90387490407413e-53,1.27704657812935e-53,1.35731188511243e-53,1.37773274492915e-53,1.43529810094464e-53,4.56404461332937e-53,2.0690441891895e-53,1.75841784691584e-52,5.51575080791923e-53,1.48565698994446e-53,5.5439164768558e-32,1.35430735037766e-53,1.94223830320371e-29,527962854.051912,2.3446446950859e+33,1.93532358303335e+45,1.7622102891028e+61,2.18527138079703e-53,1.37743996925191e-53,31,300
3.97147528470211e-51,6.48126145162602e-44,6.04347785182996e-52,1.30591053154898e-51,9.81717691040138e-52,5.74631016672162e-52,1.43044294483582e-51,6.1855286731506e-52,2.36073026950094e-51,2.22547164427122e-51,4.29447430585111e-51,3.26965108872517e-51,5.92663366079615e-35,5.74670384567516e-52,7.05472469384261e-22,10167179174616.6,3.61464691678478e+24,1.05216700276137e+34,6.41261158924859e+58,6.96259601525104e-52,9.24425627767312e-52,32,300
8.09781585728959e-51,2.20160161982217e-42,1.19997628965449e-51,1.88011127967739e-50,1.01437178819354e-51,1.11892901737611e-51,2.50215978267474e-51,1.06398386531006e-51,9.72512756494389e-52,9.94891655386195e-52,5.53390114879893e-51,1.16060051111172e-51,4.03224039027441e-41,1.00556759548946e-51,2.0379307266074e-28,85031818794.3605,504570573975796288,1.00713333864423e+31,3.25029294415101e+49,1.32045307954969e-51,9.82229623990156e-52,33,300
3.12482133025609e-52,1.14513012150267e-41,3.22462132578124e-52,3.16394905216464e-52,2.89223601627972e-51,4.93288596084921e-52,6.3556540072071e-52,3.09562431583903e-52,3.32934054781741e-52,4.0070686630831e-52,4.08556707838777e-52,3.10159303192788e-52,3.25822289769468e-44,8.31691516533475e-51,1.22617555784815e-26,314232.453653517,7.07338515757068e+23,1.10156846229982e+49,7.96055043389071e+50,5.07950552707125e-51,3.0990298746493e-52,34,300
3.03540186501664e-56,1.15631166548972e-46,5.09296805611713e-56,3.11899782576225e-56,3.18361739001763e-56,3.79261702827367e-56,3.03060866865753e-56,6.97585741718674e-56,3.02295595240038e-56,3.0712795760168e-56,3.37985463919926e-56,8.7938333743986e-56,2.16419870292986e-41,8.81210551300788e-56,5.42286527002566e-36,55535177167134498816,3.77915083232167e+37,4.52687504719662e+47,2.33765195681365e+72,3.59955181402792e-56,3.16557896779906e-56,35,300
