"A","B","C","D","E","F","G","H","I","J","sim","n"
-35.4240205808184,-34.8688607726365,-35.5037348349263,-33.0166879479533,-35.3135135078718,-32.1737729408835,-34.0941806379361,-25.9075947096538,-20.4532115766055,-8.93612738648883,29,100
-35.8284744716654,-34.5055536968934,-35.5489991568204,-35.7728120405296,-35.088335189002,-33.446206004253,-35.7257256458296,-26.7885057991138,-20.1097784311375,-1.87742273130385,30,100
-33.9876926510031,-34.1616114706488,-33.200099980352,-34.3047077972039,-34.3915750273465,-33.5087401440963,-32.8209460233284,-21.8510839703609,-22.2944782263271,-15.9036786680064,31,100
-33.6111641720659,-34.994625047579,-33.6349107203659,-35.0024644067374,-33.0357602806318,-32.5556308552152,-30.4912924804671,-27.4850495882859,-16.9981726460018,-22.4683498535003,32,100
-31.0694972359628,-33.7548090275508,-34.6164186404427,-33.6361432759161,-33.9614100481874,-34.2665873244627,-32.0717781973986,-25.713376015403,-21.4629611002172,-2.09922904891252,33,100
-33.3251229759126,-34.9617348535986,-33.3660677031714,-33.7643607689643,-33.4780625469012,-31.3029504734863,-27.3189997206455,-29.7281393434397,-23.7468642488785,-20.6020123377766,34,100
-36.1852122017002,-36.2127181074319,-36.0669951082868,-34.6659179204543,-32.3687966635017,-35.1964662126912,-36.2352947985506,-24.3234531636059,-10.9147977888848,-1.61938520572207,35,100
-35.392916374782,-35.1141302667181,-34.8771468852972,-33.6307363525317,-31.6173767061792,-34.1975054499296,-33.5461682399579,-31.5557446600085,-13.3774229018193,-13.1531853286792,36,100
-35.3506616606092,-34.9120117134568,-35.3700055142756,-33.909779123983,-33.563733712056,-35.2146425301431,-35.3279936973189,-22.6132891778103,-29.2776122697416,-14.9783860115879,37,100
-33.8035485823431,-33.3755214736799,-34.4444804763486,-33.0329223550834,-30.2805160027599,-34.0417166946523,-34.0481091268257,-33.0285475946225,-28.1954858655776,-17.5750095075277,38,100
-35.6183924633798,-34.4831456542462,-32.3460441085774,-35.6145961980082,-34.9745844980966,-35.663500446356,-34.2945681903668,-31.597604111908,-19.4546828309599,-9.72721921718639,39,100
-35.2238165113789,-35.0265583228066,-33.8917101281071,-33.0008219496172,-34.1043365594545,-34.2065779440986,-35.2155881696529,-25.988704872144,-26.4460052596885,-7.64357152380694,40,100
-34.3998307038489,-34.4611557464253,-34.6485477013872,-31.7407646584793,-33.8612543289611,-33.4162873396741,-30.4929170637452,-32.1385057309917,-13.0236066770081,-15.9102909506875,41,100
-34.9700953270563,-33.8194433000171,-35.2875956654287,-35.4540371312955,-30.0757766555507,-30.9640507712882,-32.0494731986768,-24.6505910328449,-26.9063487310698,-19.5584793680682,42,100
-33.9531021750564,-35.2819235155902,-34.2696851640292,-35.4365004499826,-35.5832045780614,-34.5883765534485,-34.8209882748408,-25.7605925060211,-24.4561219587846,-11.6149804083203,43,100
-35.2736661483057,-35.6664706471063,-35.4376501567983,-34.6789417875617,-34.0554208281848,-30.6085338751661,-32.2821320823931,-25.7331213698302,-9.92991299047577,-6.81075812706223,44,100
-34.2051815601061,-35.1899351938704,-35.2491251162935,-31.5996537327574,-32.5144804132802,-32.9876470288126,-30.7417594641448,-35.0375013581309,-19.1175382980858,-10.9723076876834,45,100
-34.951558502456,-34.7356107313246,-33.7212604719277,-35.0532352161262,-34.6974356951051,-32.9571442461868,-32.8654914539881,-29.4026866381497,-30.9767402100176,-9.83824414182197,46,100
-35.7330974450711,-33.7428488526686,-35.2546817779693,-35.4977108920674,-25.0906355944601,-34.5529662926631,-34.6574619860898,-21.2832357981819,-24.2097810912021,-15.2801101465261,47,100
-34.5172911678187,-34.6997115917112,-34.4239574650003,-33.6177672223649,-31.640296694383,-33.6455502956624,-33.9647757491709,-34.3737993232591,-19.3929013642127,-18.1508555112235,48,100
-34.3347522781555,-32.8228494908265,-35.0597205655442,-34.8018326470115,-35.0838121812702,-35.0924009551831,-31.5404274134237,-23.8985374634091,-24.9365576304147,-7.34467908623719,49,100
-36.0187897318808,-36.0856934314372,-36.0777816858296,-33.5467015315267,-33.7554388821085,-34.5896195210566,-32.350022276259,-26.7938365698889,-20.6916292216132,-7.10299878607904,50,100
-34.6890905437501,-34.3797505491926,-34.5931526181699,-31.3068811863501,-34.5492677501094,-33.5837301319208,-30.3310720035747,-30.1611784864177,-28.9340217244756,-11.0483680463261,51,100
-35.1833883614153,-34.568080887865,-32.8326937188857,-35.2627999353904,-34.8221711711937,-35.1091554776384,-32.5767985680465,-27.8534667756614,-22.4210539912424,-5.28094733673797,52,100
-35.2722372430578,-30.4759370445347,-34.661420702228,-35.2634727515883,-34.5882271031699,-34.2978411800827,-29.7256953277113,-24.734429204979,-20.6645777595081,-13.0758534707378,53,100
-34.1040405482043,-33.9707900116509,-34.0919409187179,-31.4060886927305,-33.033847449632,-31.704924306774,-32.6411361770533,-28.6650663150061,-21.9128451582025,-18.947728685026,54,100
-33.6134853618848,-34.4799367092166,-34.7050058708504,-34.5138436654598,-33.9891177245238,-30.9877086049073,-31.4195556136876,-29.497848849429,-29.3809246968642,-22.077410805301,55,100
